SITE_ID,LATITUDE,LONGITUDE,NAME,STATE,LICENSING_AREA_ID,POSTCODE,SITE_PRECISION,ELEVATION,HCIS_L2
1000,-12.471947,130.845073,Fort Hill Wharf DARWIN,NT,4,0800,Unknown,,GO7H
10000,-33.756158,150.698182,Cnr Castlereagh & Lethbri PENRITH,NSW,2,2750,Unknown,,MV9O
10000002,-28.77766,114.63426,Optus 50m Lattice Tower 71 Eastward Road Utakarra,WA,4,,Within 10 metres,,AU3O
10000003,-12.464597,130.840708,6 Knuckey Street Darwin,NT,4,,Within 10 metres,,GO7H
10000004,-39.5964,143.9339,Cape Wickham Links Clubhouse KING ISLAND,TAS,5,,Within 100 metres,,KX8L
10000006,-28.913583,153.320278,LPON02 1 Tucki Road TUCKI,NSW,4,,Within 10 metres,,NU3N
10000007,-32.67373,152.183366,LPON06 Ocean Side Hotel 100 Booner Street HAWKS NEST,NSW,4,,Within 10 metres,,NV5I
10000008,-33.554239,150.733037,LPON09 1057 Kurmond Road NORTH RICHMOND,NSW,2,,Within 10 metres,,MV9K
10000009,-36.416261,143.611158,LPON15 90 High Street WEDDERBURN,VIC,4,,Within 10 metres,,KW8G
10000010,-33.315074,115.726263,LPON19 Glen Huon Primary School 9 Monash Bvd EATON,WA,4,,Within 10 metres,,BV7G
10000011,-33.307414,115.734614,LPON20 45 Millbridge Bvd MILLBRIDGE,WA,4,,Within 10 metres,,BV7G
10000012,-33.357333,115.624897,LPON21 Bethanie Elanora 37 Hastie Street SOUTH BUNBURY,WA,4,,Within 10 metres,,BV7G
10000013,-28.687008,153.523194,LPON 22 Foodworks Building 3/2-6 Byron Street BANGALOW,NSW,4,,Within 10 metres,,NU3K
10000014,-31.540083,116.372957,LPON 27 Location 8392 Harders-Chitty Road TOODYAY,WA,4,,Within 10 metres,,BV2J
10000015,-31.549951,116.453282,LPON 28 21 Hassell Close TOODYAY,WA,4,,Within 10 metres,,BV2J
10000016,-33.831142,115.106278,LPON29 8 Webster Road COWARAMUP,WA,4,,Within 10 metres,,BV7M
10000017,-33.629218,115.091635,LPON30 53 Yungarra Drive DUNSBOROUGH,WA,4,,Within 10 metres,,BV7I
