SITE_ID,LATITUDE,LONGITUDE,NAME,STATE,LICENSING_AREA_ID,POSTCODE,SITE_PRECISION,ELEVATION,HCIS_L2
10000009,-36.416261,143.611158,LPON15 90 High Street WEDDERBURN,VIC,4,,Within 10 metres,,KW8G
10000022,-37.814712,144.974322,17 Spring St MELBOURNE,VIC,2,3000,Within 10 metres,,KX3P
10000023,-37.65123,144.959774,183-187 Northbourne Rd Campbellfield,VIC,2,,Within 10 metres,,KX3L
10000024,-38.229606,146.414233,85 Vincent Road Morwell,VIC,4,,Within 10 metres,,LX5B
10000025,-38.195525,146.561853,Glenview Park McNairn Road Traralgon,VIC,4,,Within 10 metres,,LX5C
10000027,-37.8109,144.9371,Costco Docklands 381-383 Footscray Road DOCKLANDS,VIC,2,,Within 10 metres,,KX3P
10000028,-37.916514,145.038261,14-18 Bent Street BENTLEIGH,VIC,2,,Within 10 metres,,LX1M
10000030,-37.9192,145.3463,Belgrave Heights Christian School Wattle Valley Road BELGRAVE,VIC,2,,Within 10 metres,,LX1N
10000031,-37.6905,145.0248,319 Settlement Road THOMASTOWN,VIC,2,,Within 10 metres,,LX1I
10000033,-37.574405,144.92044,VHA Rooftop Site Craigieburn Central 306/330-332 Grand Blvd CRAIGIEBURN,VIC,2,,Within 10 metres,,KX3L
10000047,-37.857886,144.789906,SCT Logistics 7 Westlink Court ALTONA,VIC,2,,Within 10 metres,,KX3P
10000048,-37.805036,144.932034,Dynon Rollingstock Maintenance Facility Gate K Dynon Road WEST MELBOURNE,VIC,2,,Within 10 metres,,KX3P
10000049,-37.416821,145.005337,Wallan Station Station Street WALLAN EAST,VIC,2,,Within 10 metres,,LX1E
10000050,-38.103396,147.054383,Sale Station Pettit Drive SALE,VIC,4,,Within 10 metres,,LX6A
10000060,-37.852314,144.607033,772 Ballan Rd WYNDHAM VALE,VIC,2,,Within 10 metres,,KX3O
10000064,-37.842539,145.26947,Station Radio Site Station St BAYSWATER,VIC,2,,Within 10 metres,,LX1N
10000066,-37.963172,145.127531,66-78 Tootal Rd SPRINGVALE,VIC,2,,Within 10 metres,,LX1M
10000080,-36.884244,144.210728,Ravenswood Interchange Midland Hwy BENDIGO,VIC,4,,Within 10 metres,,KW9M
10000084,-38.04036,145.21577,1-7 Vision St DANDENONG SOUTH,VIC,2,,Within 10 metres,,LX4A
10000085,-38.03522,145.19963,18-24 Villas Rd DANDENONG SOUTH,VIC,2,,Within 10 metres,,LX4A
10000086,-36.355026,146.323689,62-68 Ovens St Wangaratta,VIC,4,,Within 10 metres,,LW8F
10000087,-36.36583,146.304625,Newman St Wangaratta,VIC,4,,Within 10 metres,,LW8F
10000091,-37.8222,144.9661,Oaks Southbank 57-61 City Road SOUTHBANK,VIC,2,,Within 10 metres,,KX3P
10000095,-37.801719,144.735611,1 Doriemus Dr TRUGANINA,VIC,2,,Within 10 metres,,KX3O
10000096,-37.975073,144.349602,"Marngoneet Correctional Centre, Karrenga 1200 Bacchus Marsh Road Lara",VIC,2,,Within 10 metres,,KX3N
10000097,-37.816491,144.969434,Forum Theatre Corner Russell and Flinders Streets Melbourne,VIC,2,,Within 10 metres,,KX3P
100001,-38.248652,144.605442,Telstra/Vodafone Site Highfields Queenscliff-Portarlington Rd MARCUS HILL,VIC,2,3222,Within 100 metres,23,KX6G
10000101,-37.55806,144.86984,NBN Co Site 740 Mt Ridley Road Mickleham,VIC,2,,Within 100 metres,,KX3L
10000102,-37.40485,144.7612,NBN Co Site 148 Chintin Road Monegeetta,VIC,2,,Within 100 metres,,KX3H
10000107,-38.17653,146.26095,Moe Service Centre and Library 19 George St Moe,VIC,4,,Within 10 metres,,LX5B
10000128,-37.663983,145.00737,CityLife Church Whittlesea 70 Kingsway Drive Lalor,VIC,2,,Within 10 metres,,LX1I
10000136,-37.819175,145.121139,Woolworths Box Hill Cnr Main Street & Station Street Box Hill,VIC,2,,Within 10 metres,,LX1M
10000138,-37.914,145.132754,21 Wellington Rd Clayton,VIC,2,,Within 10 metres,,LX1M
